,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-fc642
1,4,True,0,0,15,north,AYO-fc642
2,5,True,0,0,,north,AYO-fc642
3,6,,0,0,,north,AYO-fc642
4,2,,0,0,,north,AYO-fc642
5,5,,0,0,,north,AYO-fc642
6,3,,0,0,,north,AYO-fc642
7,1,,0,0,,north,AYO-fc642
8,4,,0,0,,north,AYO-fc642
9,5,,0,0,,north,AYO-fc642
10,6,,0,0,,north,AYO-fc642
0,2,True,0,0,0,south,AYO-fc642
1,3,True,0,0,33,south,AYO-fc642
2,1,True,0,0,,south,AYO-fc642
3,6,True,0,0,,south,AYO-fc642
4,4,True,0,0,,south,AYO-fc642
5,3,True,0,0,,south,AYO-fc642
6,5,True,0,0,,south,AYO-fc642
7,4,True,0,0,,south,AYO-fc642
8,5,,0,0,,south,AYO-fc642
9,2,,0,0,,south,AYO-fc642
10,3,,0,0,,south,AYO-fc642
11,5,,0,0,,south,AYO-fc642
12,6,,0,0,,south,AYO-fc642
13,4,,0,0,,south,AYO-fc642
14,6,,0,0,,south,AYO-fc642
15,1,,1,0,,south,AYO-fc642
