,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-8017a
1,4,True,0,0,15,north,AYO-8017a
2,5,True,0,0,,north,AYO-8017a
3,6,True,0,0,,north,AYO-8017a
4,1,True,0,0,,north,AYO-8017a
5,2,,0,0,,north,AYO-8017a
6,6,,0,0,,north,AYO-8017a
7,3,,0,0,,north,AYO-8017a
8,4,,0,0,,north,AYO-8017a
9,6,,0,0,,north,AYO-8017a
10,5,,0,0,,north,AYO-8017a
11,6,,1,0,,north,AYO-8017a
0,2,True,0,0,0,south,AYO-8017a
1,3,True,0,0,33,south,AYO-8017a
2,1,True,0,0,,south,AYO-8017a
3,6,True,0,0,,south,AYO-8017a
4,4,True,0,0,,south,AYO-8017a
5,3,,0,0,,south,AYO-8017a
6,5,,0,0,,south,AYO-8017a
7,4,,0,0,,south,AYO-8017a
8,5,,0,0,,south,AYO-8017a
9,6,,0,0,,south,AYO-8017a
10,4,,0,0,,south,AYO-8017a
